name,RA,Dec,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth
"HAT-P-54 b",06:39:35.52,+25:28:56.64,13.4,2458624.81497900,9.8e-05,3.79985297000,3.8e-07,1.81,,25.5
"HAT-P-55 b",17:37:05.64,+25:43:52.13,13.2,2458311.92255000,0.00013,3.58523130000,5.1e-07,2.94,,16.9
"HAT-P-56 b",06:43:23.52,+27:15:07.86,10.9,2458459.75023000,0.00016,2.79082500000,3.7e-07,2.26,,11.0
"HAT-P-57 b",18:18:58.42,+10:35:49.91,10.6,2457598.49926000,0.00037,2.46529488000,4.6e-07,3.50,,9.4
"HAT-P-58 b",04:35:23.16,+56:52:05.77,12.9,2458818.02566000,0.00077,4.01383580000,2.6e-06,4.15,,8.6
"HAT-P-59 b",19:29:50.12,+62:31:45.08,11.6,2459761.72649900,0.0001856,4.14198051012,8.5778e-07,2.38,,10.1
"HAT-P-5 b",18:17:37.33,+36:37:17.26,12.0,2457155.73168000,0.00011,2.78847323000,1.5e-07,2.95,,12.0
"HAT-P-60 b",01:53:07.82,+52:03:14.12,9.7,2458360.94029000,0.00056,4.79478130000,2.4e-06,5.04,,6.8
"HAT-P-61 b",05:01:55.24,+50:07:52.24,13.1,2457851.21119000,0.00047,1.90231289000,7.7e-07,1.66,,10.7
"HAT-P-62 b",04:58:01.05,+48:18:03.08,12.5,2457332.66095000,0.00024,2.64532306000,9.5e-07,3.10,,10.5
"HAT-P-63 b",17:58:17.30,+05:45:40.94,13.7,2456382.94256000,0.00053,3.37772800000,1.3e-05,2.93,,17.3
"HAT-P-64 b",04:35:53.85,+02:25:52.58,12.9,2457751.46354000,0.00063,4.00723200000,1.7e-06,4.92,,10.4
"HAT-P-65 b",21:03:37.32,+11:59:21.72,13.1,2458280.04462000,0.00018,2.60544724000,5e-07,4.37,,11.1
"HAT-P-66 b",10:02:17.43,+53:57:02.97,13.0,2458248.50549000,0.00033,2.97208900000,1.1e-06,4.70,,6.4
"HAT-P-67 b",17:06:26.57,+44:46:36.79,10.1,2458958.08059000,0.00032,4.81010460000,1.7e-06,6.99,,7.0
"HAT-P-68 b",07:53:55.96,+23:56:17.59,13.8,2458140.34562000,0.00011,2.29840555000,1.8e-07,2.09,,30.8
"HAT-P-69 b",08:42:01.35,+03:42:38.04,9.8,2459237.77170000,0.00023,4.78694910000,0.00000190000,5.13,,7.6
"HAT-P-6 b",23:39:05.78,+42:27:57.55,10.5,2456100.88331000,0.0002,3.85299668000,3.6e-07,3.51,,8.7
"HAT-P-70 b",04:58:12.56,+09:59:52.73,9.5,2459188.77414000,0.00017,2.74432450000,6e-07,3.48,,8.4
"HAT-P-7 b",19:28:59.33,+47:58:10.35,10.5,2454954.35847000,1.4e-05,2.20473540000,2e-08,4.04,,6.7
"HAT-P-8 b",22:52:09.96,+35:26:49.84,10.4,2456052.75596000,0.00024,3.07634347000,5.8e-07,3.90,,8.3
"HAT-P-9 b",07:20:40.44,+37:08:26.14,12.3,2456489.15311000,0.00019,3.92281131000,3.9e-07,3.36,,11.4
"HATS-10 b",19:37:13.64,-22:12:16.15,13.2,2456706.34481000,0.0003,3.31282810000,1.3e-06,3.01,,8.2
"HATS-11 b",19:17:36.18,-22:23:24.03,14.1,2457338.60847900,6.7e-05,3.61915460000,1e-06,4.37,,13.7
"HATS-12 b",19:16:48.58,-19:21:21.32,12.8,2457364.66541000,0.00012,3.14283470000,2.2e-06,4.52,,4.3
"HATS-13 b",21:07:50.76,-26:05:48.19,13.9,2457375.29601000,0.00019,3.04405362000,4.7e-07,2.63,,22.2
